,,Ruzicka
OA,PI,0.02460456942003515
VKFIN.*,VMFIN.*,0.02459016393442623
ADJS,ADJV,0.024539877300613498
KOUS,VVFIN.konj,0.024509803921568627
DPOSA,VKFIN.*,0.024390243902439025
KOUS,PPER,0.024390243902439025
DRELA,KOKOM,0.024390243902439025
AVD,DDART,0.024360535931790498
NA,VVFIN.ind,0.0241773002014775
ADJN,PTKN,0.024096385542168676
ADJV,PAVAP,0.024
PAVAP,PTKZU,0.024
OA,PPER,0.024
KOKOM,VVIMP,0.023809523809523808
VKFIN.*,VVFIN.*,0.02376599634369287
PTKVZ,VMFIN.ind,0.023622047244094488
DDART,PAVREL,0.023529411764705882
VMFIN.*,VVFIN.ind,0.0234192037470726
DDD,PG,0.023255813953488372
DPOSS,VAFIN.konj,0.023255813953488372
DPOSS,PKOR,0.023255813953488372
DGN,PG,0.023255813953488372
PG,PTKREL,0.023255813953488372
PAVAP,PAVREL,0.023255813953488372
PTKA,PTKREL,0.023255813953488372
PPER,VAFIN.konj,0.023255813953488372
DID,PTKA,0.023255813953488372
AVD,AVREL,0.023076923076923078
ADJV,KOUS,0.022900763358778626
VAINF,VMFIN.*,0.022900763358778626
DNEGA,PTKANT,0.022727272727272728
DIS,KOKOM,0.022727272727272728
DDN,PTKA,0.022727272727272728
DPOSA,VAINF,0.022727272727272728
DWS,PG,0.022727272727272728
DDSA,PG,0.022727272727272728
ADJA,VVFIN.*,0.022653721682847898
VKFIN.ind,VVFIN.ind,0.022641509433962263
DRELS,OA,0.02262443438914027
DIS,KON,0.022556390977443608
VAFIN.ind,VMFIN.*,0.022556390977443608
VAFIN.*,VVFIN.*,0.022482014388489208
VAFIN.ind,VMFIN.ind,0.022222222222222223
PAVG,VMFIN.ind,0.022222222222222223
PTKN,VVIMP,0.022222222222222223
KOUS,PI,0.022151898734177215
PPER,VKFIN.ind,0.022058823529411766
DDART,PTKNEG,0.02197802197802198
ADJN,VVPP,0.02197802197802198
CARDA,OA,0.02197802197802198
ADJA,VVPP,0.0219435736677116
VAFIN,VAINF,0.021739130434782608
VAFIN.konj,VKFIN.ind,0.021739130434782608
KO*,PTKA,0.021739130434782608
DDART,DIS,0.021739130434782608
VKFIN.*,VMINF,0.021739130434782608
KO*,PG,0.021739130434782608
DIA,DRELS,0.021645021645021644
ADJN,ADJS,0.021621621621621623
DRELS,PTKA,0.021505376344086023
DIART,PKOR,0.02127659574468085
AVG,VMFIN.ind,0.02127659574468085
AVG,KOUS,0.02127659574468085
DPOSN,VAINF,0.02127659574468085
DDS,OA,0.021141649048625793
PG,VAFIN.*,0.021052631578947368
KOUS,VAFIN.*,0.021052631578947368
VMFIN.ind,VVFIN.ind,0.020910209102091022
PG,PTKG,0.020833333333333332
AVNEG,KOKOM,0.020833333333333332
VAFIN.*,VMFIN.ind,0.020833333333333332
VAFIN,VAFIN.ind,0.020833333333333332
ADJA,VVINF,0.020787746170678335
VMFIN.konj,VVFIN.konj,0.020689655172413793
OA,VMFIN.ind,0.020689655172413793
DDART,PRF,0.020618556701030927
DPOSA,VKINF,0.020618556701030927
DDART,PAVAP,0.020512820512820513
APPR,PTKZU,0.020491803278688523
ADJD,VVFIN.*,0.020460358056265986
ADJD,VVFIN.ind,0.0204241948153967
PAVAP,VVFIN.konj,0.02040816326530612
DIART,PAVAP,0.02040816326530612
AVW,PG,0.02040816326530612
ADJD,ADJS,0.0203527815468114
AVW,VMFIN.ind,0.02
PAVAP,PTKN,0.02
DPOSS,VKFIN.ind,0.02
KOUS,VKFIN.konj,0.019867549668874173
VMFIN.*,VVIMP,0.019801980198019802
DIS,PTKVZ,0.019801980198019802
PPER,PTKA,0.019736842105263157
CARDN,DNEGA,0.0196078431372549
AVNEG,PTKN,0.0196078431372549
DGA,PTKNEG,0.0196078431372549
PTKVZ,VVFIN.konj,0.0196078431372549
OA,VVFIN.konj,0.019548872180451128
AVD,PAVD,0.019455252918287938
VAFIN.*,VVFIN.ind,0.019417475728155338
APPR,PAVD,0.019230769230769232
DPDS,DRELS,0.019230769230769232
DDD,DRELS,0.019230769230769232
PNEG,PTKANT,0.019230769230769232
PPER,VAFIN.ind,0.01910828025477707
DGS,DRELS,0.018867924528301886
DDSA,DRELS,0.018867924528301886
AVREL,VAFIN.konj,0.018867924528301886
PAVD,PTKVZ,0.018867924528301886
OA,VMFIN.*,0.018789144050104383
DDART,PTKVZ,0.01875
AVD,DRELS,0.018726591760299626
ADJD,PTKVZ,0.01870748299319728
ADJA,ADJN,0.01864951768488746
APPR,PTKN,0.01858736059479554
VAFIN,VAFIN.*,0.018518518518518517
PTKREL,VAFIN.*,0.018518518518518517
